                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.70544,                0.44874,                 1.0924,                0.93002,                0.92156,                0.97072,                0.64328,                 1.2795,                0.51649,                 1.8228,             8.1437e-06,             8.1437e-06,             8.1437e-06
                     77,                 0.6887,                0.44095,                 1.0766,                0.96671,                0.91806,                0.97745,                 0.6449,                 1.3218,                 0.4957,                 1.9179,              8.119e-06,              8.119e-06,              8.119e-06
                     78,                0.69504,                0.42664,                 1.0753,                0.94935,                0.92952,                0.95663,                0.62958,                 1.3137,                0.49351,                 1.9086,             8.0942e-06,             8.0942e-06,             8.0942e-06
                     79,                0.68421,                0.41938,                  1.065,                0.95653,                0.92338,                0.96987,                0.63944,                 1.2959,                0.49791,                 1.8319,             8.0695e-06,             8.0695e-06,             8.0695e-06
                     80,                0.68991,                0.43038,                 1.0713,                0.88636,                0.95636,                0.96518,                0.64113,                 1.2961,                0.55485,                 1.8355,             8.0447e-06,             8.0447e-06,             8.0447e-06
                     81,                0.68391,                0.43184,                 1.0759,                0.95058,                0.91977,                0.96105,                0.63403,                 1.3135,                0.54699,                 1.9203,               8.02e-06,               8.02e-06,               8.02e-06
                     82,                0.67238,                0.40866,                 1.0639,                0.94062,                0.90539,                0.95136,                0.63237,                 1.2782,                0.55464,                 1.8766,             7.9953e-06,             7.9953e-06,             7.9953e-06
                     83,                0.67976,                0.42408,                 1.0635,                 0.9607,                0.91912,                0.97288,                0.65007,                 1.2805,                0.49224,                 1.8431,             7.9705e-06,             7.9705e-06,             7.9705e-06
                     84,                0.65745,                0.41645,                 1.0675,                 0.9509,                0.92276,                0.97331,                0.63714,                   1.29,                0.52428,                 1.9111,             7.9458e-06,             7.9458e-06,             7.9458e-06
                     85,                0.66846,                0.42015,                 1.0653,                0.93635,                0.93371,                0.98323,                0.63893,                 1.3187,                0.48594,                 1.8759,              7.921e-06,              7.921e-06,              7.921e-06
