RegionID,SizeRank,RegionName,RegionType,StateName,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022
394964,412,"Parkersburg, WV",msa,WV,137833,136000,134667,134417,137417,139667,142250,143917,144333,143333,143150,142733,143217,141733,144450,146300,149283,148800,150767,150783,149617,147150,144983,146633,147450,149617,148317,150000,153300,156300,156283,156283,157283,157267,155217,154217,155583,157667,156833,150500,149167,150967,160633,163967,165500,160833,159167,156667,157150,156817,154817,154333,156333,164000,170667,175333,174633
394641,413,"Grants Pass, OR",msa,OR,339333,339633,346300,346633,350000,351650,351650,351617,344967,339967,338333,339750,344417,339083,337333,334000,340000,342917,346400,347400,349783,349717,350550,355583,362500,366667,364667,361000,359000,364333,374633,388300,392967,389333,385167,381833,382150,374650,376300,379475,407808,439492,472917,476233,472233,464800,469150,463483,462667,456500,456500,453167,458000,467917,472883,479883,476300
394373,414,"Beaver Dam, WI",msa,WI,153250,156583,163250,168233,171567,173250,176583,179950,183267,181633,178300,176633,181300,184633,188667,192300,197267,197400,197400,199100,201600,201600,194900,188233,181567,181583,184250,187583,192567,202917,212617,218983,219317,221283,221267,214583,206283,203266,207450,210767,210767,216583,219917,224283,220983,219333,214833,210500,205467,200600,198233,199082,210749,221599,234100,239967,242150
394809,415,"Lufkin, TX",msa,TX,169904,170104,170467,170833,175233,182870,189170,192904,194900,198233,204433,209133,209733,206717,198617,197717,196133,202581,205248,205315,200467,200467,198667,200467,195717,197517,194883,193940,192807,192140,195467,202633,209617,212679,206679,202029,201333,198983,203300,198383,200567,200550,197127,201944,207644,221150,225500,229833,238970,241637,239970,234987,234987,234987,233000,230792,233292
394980,416,"Pine Bluff, AR",msa,AR,103967,104467,104467,103833,105833,105667,110333,110983,110817,109483,109333,108833,105467,100633,99767,106133,111550,113233,106867,101517,99533,99233,99083,97750,94650,94900,96566,101966,105283,108617,109983,109967,107967,104300,102633,102967,106600,106933,109267,113950,118317,120983,121667,123833,126833,126483,127800,127300,128800,128983,133150,134833,137833,139500,144667,148333,150000
395175,417,"Ukiah, CA",msa,CA,591000,586333,574333,561318,549652,552985,568000,585333,594000,589000,590000,583333,578333,564167,555833,559133,568300,571300,566333,559333,561667,561333,564667,575000,588333,595333,594667,593333,595000,595000,595000,595000,605000,615000,625000,615000,605000,603000,621167,639167,665833,666000,666000,649333,641817,632900,625567,627900,628817,628150,625000,616633,607967,598633,582000,575500,562833
395248,418,"Zanesville, OH",msa,OH,127800,127600,129567,134567,140100,144800,148167,149633,149933,149900,149900,149900,149900,149900,147567,145900,144933,147267,148950,151617,154617,156300,154633,151633,149933,149900,149900,150417,150417,157083,164267,167633,160983,159950,159617,159633,157133,157133,157100,152933,154533,157900,164566,168300,168267,166633,165767,167433,165433,159600,160133,159700,161067,161567,165633,174300,183300
394925,419,"Oak Harbor, WA",msa,WA,405492,397092,391933,392233,401967,414633,426333,429667,429667,422092,413925,408917,409825,406642,402983,402950,414300,430967,442658,452658,452658,457667,467167,481917,488583,482000,483417,485050,495467,489300,499300,499600,521100,522800,516133,517967,505967,509300,500450,512450,537483,555000,576583,584667,569650,556400,548317,561000,568333,560000,554000,549667,566333,586300,616300,635300,648667
395042,420,"Russellville, AR",msa,AR,144333,139933,138000,141483,148217,153250,155967,158983,162133,164467,163300,161783,160083,156267,154617,152650,156217,155567,154200,150933,155850,161550,166550,163967,162783,160800,160767,162783,168100,173100,173233,172433,172467,174167,175000,175000,176633,178267,176567,178233,181417,187783,189450,186267,183233,183233,186100,192383,199067,206050,206467,203117,199933,199900,203250,204950,204983
394942,421,"Orangeburg, SC",msa,SC,129967,131633,132467,132433,132367,131500,132533,133617,138650,142650,144667,142958,139625,139625,141333,146300,151600,156267,159467,159333,159633,161467,161600,161600,159517,156883,151917,146833,145333,146000,147667,152267,160673,171590,174453,173347,169562,171265,173298,175000,175317,175317,173617,176600,173183,169850,161367,164783,164817,163317,161592,164867,171550,181575,194967,202967,199567
