Level,Level1,Level2,Level3,Level4,Level5,Level6,Products and product groups
4,All-items,Food,Food purchased from restaurants,Food purchased from fast food and take-out restaurants,,,Food purchased from fast food and take-out restaurants
4,All-items,Food,Food purchased from restaurants,Food purchased from cafeterias and other restaurants,,,Food purchased from cafeterias and other restaurants
2,All-items,Shelter,,,,,Shelter
3,All-items,Shelter,Rented accommodation,,,,Rented accommodation
4,All-items,Shelter,Rented accommodation,Rent,,,Rent
4,All-items,Shelter,Rented accommodation,Tenants' insurance premiums,,,Tenants' insurance premiums
4,All-items,Shelter,Rented accommodation,"Tenants' maintenance, repairs and other expenses",,,"Tenants' maintenance, repairs and other expenses"
3,All-items,Shelter,Owned accommodation,,,,Owned accommodation
4,All-items,Shelter,Owned accommodation,Mortgage interest cost,,,Mortgage interest cost
4,All-items,Shelter,Owned accommodation,Homeowners' replacement cost,,,Homeowners' replacement cost
4,All-items,Shelter,Owned accommodation,Property taxes and other special charges,,,Property taxes and other special charges
4,All-items,Shelter,Owned accommodation,Homeowners' home and mortgage insurance,,,Homeowners' home and mortgage insurance
4,All-items,Shelter,Owned accommodation,Homeowners' maintenance and repairs,,,Homeowners' maintenance and repairs
4,All-items,Shelter,Owned accommodation,Other owned accommodation expenses,,,Other owned accommodation expenses
3,All-items,Shelter,"Water, fuel and electricity",,,,"Water, fuel and electricity"
4,All-items,Shelter,"Water, fuel and electricity",Electricity,,,Electricity
4,All-items,Shelter,"Water, fuel and electricity",Water,,,Water
4,All-items,Shelter,"Water, fuel and electricity",Natural gas,,,Natural gas
4,All-items,Shelter,"Water, fuel and electricity",Fuel oil and other fuels,,,Fuel oil and other fuels
2,All-items,"Household operations, furnishings and equipment",,,,,"Household operations, furnishings and equipment"
3,All-items,"Household operations, furnishings and equipment",Household operations,,,,Household operations
4,All-items,"Household operations, furnishings and equipment",Household operations,Communications,,,Communications
5,All-items,"Household operations, furnishings and equipment",Household operations,Communications,Telephone services,,Telephone services
6,All-items,"Household operations, furnishings and equipment",Household operations,Communications,Telephone services,Cellular services (2017=100),Cellular services (2017=100)
5,All-items,"Household operations, furnishings and equipment",Household operations,Communications,Postal and other communications services,,Postal and other communications services
5,All-items,"Household operations, furnishings and equipment",Household operations,Communications,Internet access services (200212=100),,Internet access services (200212=100)
5,All-items,"Household operations, furnishings and equipment",Household operations,Communications,Telephone equipment (201104=100),,Telephone equipment (201104=100)
4,All-items,"Household operations, furnishings and equipment",Household operations,Child care and housekeeping services,,,Child care and housekeeping services
5,All-items,"Household operations, furnishings and equipment",Household operations,Child care and housekeeping services,Child care services,,Child care services
5,All-items,"Household operations, furnishings and equipment",Household operations,Child care and housekeeping services,Housekeeping services,,Housekeeping services
4,All-items,"Household operations, furnishings and equipment",Household operations,Household cleaning products,,,Household cleaning products
5,All-items,"Household operations, furnishings and equipment",Household operations,Household cleaning products,Detergents and soaps (other than personal care),,Detergents and soaps (other than personal care)
5,All-items,"Household operations, furnishings and equipment",Household operations,Household cleaning products,Other household cleaning products,,Other household cleaning products
5,All-items,"Household operations, furnishings and equipment",Household operations,Household cleaning products,Laundry detergents and soaps (2013=100),,Laundry detergents and soaps (2013=100)
5,All-items,"Household operations, furnishings and equipment",Household operations,Household cleaning products,Detergents and rinse agents for dish washing (2013=100),,Detergents and rinse agents for dish washing (2013=100)
5,All-items,"Household operations, furnishings and equipment",Household operations,Household cleaning products,Household cleaning and polishing products (2013=100),,Household cleaning and polishing products (2013=100)
5,All-items,"Household operations, furnishings and equipment",Household operations,Household cleaning products,Bleach and other household chemical products (2013=100),,Bleach and other household chemical products (2013=100)
5,All-items,"Household operations, furnishings and equipment",Household operations,Household cleaning products,Fabric softener (2013=100),,Fabric softener (2013=100)
4,All-items,"Household operations, furnishings and equipment",Household operations,"Paper, plastic and aluminum foil supplies",,,"Paper, plastic and aluminum foil supplies"
5,All-items,"Household operations, furnishings and equipment",Household operations,"Paper, plastic and aluminum foil supplies",Paper supplies,,Paper supplies
5,All-items,"Household operations, furnishings and equipment",Household operations,"Paper, plastic and aluminum foil supplies",Household paper supplies (2013=100),,Household paper supplies (2013=100)
5,All-items,"Household operations, furnishings and equipment",Household operations,"Paper, plastic and aluminum foil supplies",Stationery (2013=100),,Stationery (2013=100)
5,All-items,"Household operations, furnishings and equipment",Household operations,"Paper, plastic and aluminum foil supplies",Plastic and aluminum foil supplies,,Plastic and aluminum foil supplies
5,All-items,"Household operations, furnishings and equipment",Household operations,"Paper, plastic and aluminum foil supplies",Plastic supplies (2013=100),,Plastic supplies (2013=100)
5,All-items,"Household operations, furnishings and equipment",Household operations,"Paper, plastic and aluminum foil supplies",Foil supplies (2013=100),,Foil supplies (2013=100)
4,All-items,"Household operations, furnishings and equipment",Household operations,Other household goods and services,,,Other household goods and services
5,All-items,"Household operations, furnishings and equipment",Household operations,Other household goods and services,Pet food and supplies,,Pet food and supplies
5,All-items,"Household operations, furnishings and equipment",Household operations,Other household goods and services,"Seeds, plants and cut flowers",,"Seeds, plants and cut flowers"
5,All-items,"Household operations, furnishings and equipment",Household operations,Other household goods and services,Other horticultural goods,,Other horticultural goods
5,All-items,"Household operations, furnishings and equipment",Household operations,Other household goods and services,Other household supplies,,Other household supplies
5,All-items,"Household operations, furnishings and equipment",Household operations,Other household goods and services,Other household services,,Other household services
5,All-items,"Household operations, furnishings and equipment",Household operations,Other household goods and services,Financial services (200212=100),,Financial services (200212=100)
5,All-items,"Household operations, furnishings and equipment",Household operations,Other household goods and services,Digital economy services (201812=100),,Digital economy services (201812=100)
3,All-items,"Household operations, furnishings and equipment",Household furnishings and equipment,,,,Household furnishings and equipment
4,All-items,"Household operations, furnishings and equipment",Household furnishings and equipment,Furniture and household textiles,,,Furniture and household textiles
5,All-items,"Household operations, furnishings and equipment",Household furnishings and equipment,Furniture and household textiles,Furniture,,Furniture
6,All-items,"Household operations, furnishings and equipment",Household furnishings and equipment,Furniture and household textiles,Furniture,Upholstered furniture,Upholstered furniture
6,All-items,"Household operations, furnishings and equipment",Household furnishings and equipment,Furniture and household textiles,Furniture,Wooden furniture,Wooden furniture
6,All-items,"Household operations, furnishings and equipment",Household furnishings and equipment,Furniture and household textiles,Furniture,Other furniture,Other furniture
5,All-items,"Household operations, furnishings and equipment",Household furnishings and equipment,Furniture and household textiles,Household textiles,,Household textiles
6,All-items,"Household operations, furnishings and equipment",Household furnishings and equipment,Furniture and household textiles,Household textiles,Window coverings,Window coverings
6,All-items,"Household operations, furnishings and equipment",Household furnishings and equipment,Furniture and household textiles,Household textiles,Bedding and other household textiles,Bedding and other household textiles
6,All-items,"Household operations, furnishings and equipment",Household furnishings and equipment,Furniture and household textiles,Household textiles,Area rugs and mats,Area rugs and mats
4,All-items,"Household operations, furnishings and equipment",Household furnishings and equipment,Household equipment,,,Household equipment
5,All-items,"Household operations, furnishings and equipment",Household furnishings and equipment,Household equipment,Household appliances,,Household appliances
5,All-items,"Household operations, furnishings and equipment",Household furnishings and equipment,Household equipment,Cooking appliances,,Cooking appliances
5,All-items,"Household operations, furnishings and equipment",Household furnishings and equipment,Household equipment,Refrigerators and freezers,,Refrigerators and freezers
5,All-items,"Household operations, furnishings and equipment",Household furnishings and equipment,Household equipment,Laundry and dishwashing appliances,,Laundry and dishwashing appliances
5,All-items,"Household operations, furnishings and equipment",Household furnishings and equipment,Household equipment,Other household appliances,,Other household appliances
4,All-items,"Household operations, furnishings and equipment",Household furnishings and equipment,"Non-electric kitchen utensils, tableware and cookware",,,"Non-electric kitchen utensils, tableware and cookware"
4,All-items,"Household operations, furnishings and equipment",Household furnishings and equipment,Tools and other household equipment,,,Tools and other household equipment
5,All-items,"Household operations, furnishings and equipment",Household furnishings and equipment,Tools and other household equipment,"Household tools (including lawn, garden and snow removal equipment)",,"Household tools (including lawn, garden and snow removal equipment)"
5,All-items,"Household operations, furnishings and equipment",Household furnishings and equipment,Tools and other household equipment,Other household equipment,,Other household equipment
4,All-items,"Household operations, furnishings and equipment",Household furnishings and equipment,Services related to household furnishings and equipment,,,Services related to household furnishings and equipment
2,All-items,Clothing and footwear,,,,,Clothing and footwear
3,All-items,Clothing and footwear,Clothing,,,,Clothing
4,All-items,Clothing and footwear,Clothing,Women's clothing,,,Women's clothing
4,All-items,Clothing and footwear,Clothing,Men's clothing,,,Men's clothing
4,All-items,Clothing and footwear,Clothing,Children's clothing,,,Children's clothing
3,All-items,Clothing and footwear,Footwear,,,,Footwear
4,All-items,Clothing and footwear,Footwear,Women's footwear (excluding athletic),,,Women's footwear (excluding athletic)
4,All-items,Clothing and footwear,Footwear,Men's footwear (excluding athletic),,,Men's footwear (excluding athletic)
4,All-items,Clothing and footwear,Footwear,Children's footwear (excluding athletic),,,Children's footwear (excluding athletic)
4,All-items,Clothing and footwear,Footwear,Athletic footwear,,,Athletic footwear
3,All-items,Clothing and footwear,"Clothing accessories, watches and jewellery",,,,"Clothing accessories, watches and jewellery"
4,All-items,Clothing and footwear,"Clothing accessories, watches and jewellery",Clothing accessories (2013=100),,,Clothing accessories (2013=100)
4,All-items,Clothing and footwear,"Clothing accessories, watches and jewellery",Leather clothing accessories,,,Leather clothing accessories
4,All-items,Clothing and footwear,"Clothing accessories, watches and jewellery",Other clothing accessories,,,Other clothing accessories
4,All-items,Clothing and footwear,"Clothing accessories, watches and jewellery",Watches,,,Watches
4,All-items,Clothing and footwear,"Clothing accessories, watches and jewellery",Jewellery,,,Jewellery
3,All-items,Clothing and footwear,"Clothing material, notions and services",,,,"Clothing material, notions and services"
4,All-items,Clothing and footwear,"Clothing material, notions and services",Clothing material and notions,,,Clothing material and notions
4,All-items,Clothing and footwear,"Clothing material, notions and services",Laundry services,,,Laundry services
4,All-items,Clothing and footwear,"Clothing material, notions and services",Dry cleaning services,,,Dry cleaning services
4,All-items,Clothing and footwear,"Clothing material, notions and services",Other clothing services,,,Other clothing services
3,All-items,Transportation,Private transportation,,,,Private transportation
4,All-items,Transportation,Private transportation,"Purchase, leasing and rental of passenger vehicles",,,"Purchase, leasing and rental of passenger vehicles"
5,All-items,Transportation,Private transportation,"Purchase, leasing and rental of passenger vehicles",Purchase of automobiles (2013=100),,Purchase of automobiles (2013=100)
5,All-items,Transportation,Private transportation,"Purchase, leasing and rental of passenger vehicles","Purchase of trucks, vans and sport utility vehicles (2013=100)",,"Purchase of trucks, vans and sport utility vehicles (2013=100)"
